year,rank,team,G,W,L,D,WPCT,GB
2001,1,Samsung Lions,133.0,81.0,52.0,0,0.609,
2001,2,Hyundai Unicorns,133.0,72.0,57.0,0,0.558,
2001,3,Doosan Bears,133.0,65.0,63.0,0,0.508,
2001,4,Hanwha Eagles,133.0,61.0,68.0,0,0.473,
2001,5,Kia Tigers,133.0,60.0,68.0,0,0.469,
2001,6,LG Twins,133.0,58.0,67.0,0,0.464,
2001,7,SK Wyverns,133.0,60.0,71.0,0,0.458,
2001,8,Lotte Giants,133.0,59.0,70.0,0,0.457,
2002,1,Samsung Lions,133.0,82.0,47.0,0,0.636,
2002,2,Kia Tigers,133.0,78.0,51.0,0,0.605,
2002,3,Hyundai Unicorns,133.0,70.0,58.0,0,0.547,
2002,4,LG Twins,133.0,66.0,61.0,0,0.52,
2002,5,Doosan Bears,133.0,66.0,65.0,0,0.504,
2002,6,SK Wyverns,133.0,61.0,69.0,0,0.469,
2002,7,Hanwha Eagles,133.0,59.0,69.0,0,0.461,
2002,8,Lotte Giants,133.0,35.0,97.0,0,0.265,
2003,1,Hyundai Unicorns,133.0,80.0,51.0,0,0.611,
2003,2,Kia Tigers,133.0,78.0,50.0,0,0.609,
2003,3,Samsung Lions,133.0,76.0,53.0,0,0.589,
2003,4,SK Wyverns,133.0,66.0,64.0,0,0.508,
2003,5,Hanwha Eagles,133.0,63.0,65.0,0,0.492,
2003,6,LG Twins,133.0,60.0,71.0,0,0.458,
2003,7,Doosan Bears,133.0,57.0,74.0,0,0.435,
2003,8,Lotte Giants,133.0,39.0,91.0,0,0.3,
2004,1,Hyundai Unicorns,133.0,75.0,53.0,0,0.586,
2004,2,Samsung Lions,133.0,73.0,52.0,0,0.584,
2004,3,Doosan Bears,133.0,70.0,62.0,0,0.53,
2004,4,Kia Tigers,133.0,67.0,61.0,0,0.523,
2004,5,SK Wyverns,133.0,61.0,64.0,0,0.488,
2004,6,LG Twins,133.0,59.0,70.0,0,0.457,
2004,7,Hanwha Eagles,133.0,53.0,74.0,0,0.417,
2004,8,Lotte Giants,133.0,50.0,72.0,0,0.41,
2005,1,Samsung Lions,126.0,74.0,48.0,0,0.607,
2005,2,Doosan Bears,126.0,72.0,51.0,0,0.585,
2005,3,SK Wyverns,126.0,70.0,50.0,0,0.583,
2005,4,Hanwha Eagles,126.0,64.0,61.0,0,0.512,
2005,5,Lotte Giants,126.0,58.0,67.0,0,0.464,
2005,6,LG Twins,126.0,54.0,71.0,0,0.432,
2005,7,Hyundai Unicorns,126.0,53.0,70.0,0,0.431,
2005,8,Kia Tigers,126.0,49.0,76.0,0,0.392,
2006,1,Samsung Lions,126.0,73.0,50.0,0,0.593,
2006,2,Hyundai Unicorns,126.0,70.0,55.0,0,0.56,
2006,3,Hanwha Eagles,126.0,67.0,57.0,0,0.54,
2006,4,Kia Tigers,126.0,64.0,59.0,0,0.52,
2006,5,Doosan Bears,126.0,63.0,60.0,0,0.512,
2006,6,SK Wyverns,126.0,60.0,65.0,0,0.48,
2006,7,Lotte Giants,126.0,50.0,73.0,0,0.407,
2006,8,LG Twins,126.0,47.0,75.0,0,0.385,
2007,1,SK Wyverns,126.0,73.0,48.0,0,0.603,
2007,2,Doosan Bears,126.0,70.0,54.0,0,0.565,
2007,3,Hanwha Eagles,126.0,67.0,57.0,0,0.54,
2007,4,Samsung Lions,126.0,62.0,60.0,0,0.508,
2007,5,LG Twins,126.0,58.0,62.0,0,0.483,
2007,6,Hyundai Unicorns,126.0,56.0,69.0,0,0.448,
2007,7,Lotte Giants,126.0,55.0,68.0,0,0.447,
2007,8,Kia Tigers,126.0,51.0,74.0,0,0.408,
2008,1,SK Wyverns,126.0,83.0,43.0,0,0.659,
2008,2,Doosan Bears,126.0,70.0,56.0,0,0.556,
2008,3,Lotte Giants,126.0,69.0,57.0,0,0.548,
2008,4,Samsung Lions,126.0,65.0,61.0,0,0.516,
2008,5,Hanwha Eagles,126.0,64.0,62.0,0,0.508,
2008,6,Kia Tigers,126.0,57.0,69.0,0,0.452,
2008,7,Woori Heroes,126.0,50.0,76.0,0,0.397,
2008,8,LG Twins,126.0,46.0,80.0,0,0.365,
2009,1,SK Wyverns,133.0,80.0,47.0,0,0.63,
2009,2,Kia Tigers,133.0,81.0,48.0,0,0.628,
2009,3,Doosan Bears,133.0,71.0,60.0,0,0.542,
2009,4,Lotte Giants,133.0,66.0,67.0,0,0.496,
2009,5,Samsung Lions,133.0,64.0,69.0,0,0.481,
2009,6,Heroes,133.0,60.0,72.0,0,0.455,
2009,7,LG Twins,133.0,54.0,75.0,0,0.419,
2009,8,Hanwha Eagles,133.0,46.0,84.0,0,0.354,
2010,1,SK Wyverns,133.0,84.0,47.0,0,0.641,
2010,2,Samsung Lions,133.0,79.0,52.0,0,0.603,
2010,3,Doosan Bears,133.0,73.0,57.0,0,0.562,
2010,4,Lotte Giants,133.0,69.0,61.0,0,0.531,
2010,5,LG Twins,133.0,57.0,71.0,0,0.445,
2010,6,Kia Tigers,133.0,59.0,74.0,0,0.444,
2010,7,Nexen Heroes,133.0,52.0,78.0,0,0.4,
2010,8,Hanwha Eagles,133.0,49.0,82.0,0,0.374,
2011,1,Samsung Lions,133.0,79.0,50.0,0,0.612,
2011,2,Lotte Giants,133.0,72.0,56.0,0,0.563,
2011,3,SK Wyverns,133.0,71.0,59.0,0,0.546,
2011,4,Kia Tigers,133.0,70.0,63.0,0,0.526,
2011,5,Doosan Bears,133.0,61.0,70.0,0,0.466,
2011,6,LG Twins,133.0,59.0,72.0,0,0.45,
2011,6,Hanwha Eagles,133.0,59.0,72.0,0,0.45,
2011,8,Nexen Heroes,133.0,51.0,80.0,0,0.389,
2012,1,Samsung Lions,133.0,80.0,51.0,0,0.611,
2012,2,SK Wyverns,133.0,71.0,59.0,0,0.546,
2012,3,Doosan Bears,133.0,68.0,62.0,0,0.523,
2012,4,Lotte Giants,133.0,65.0,62.0,0,0.512,
2012,5,Kia Tigers,133.0,62.0,65.0,0,0.488,
2012,6,Nexen Heroes,133.0,61.0,69.0,0,0.469,
2012,7,LG Twins,133.0,57.0,72.0,0,0.442,
